%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1490728683871273994,21069,1490728683871273994,,-0.0352783203125,0.0108642578125,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00248224711111,-0.000116355333333,3.87851111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.07,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683905181884,21070,1490728683905181884,,-0.0353393554688,0.0109252929688,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00254042477778,0.000135747888889,-3.87851111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683934973955,21071,1490728683934973955,,-0.0353393554688,0.010986328125,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250163966667,1.93925555556e-05,-1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683964967012,21072,1490728683964967012,,-0.0353393554688,0.010986328125,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.81776666667e-05,-1.93925555556e-05,-1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.06,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683994128942,21073,1490728683994128942,,-0.0353393554688,0.0110473632812,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.93925555556e-05,-5.81776666667e-05,-9.69627777778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-0.27,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728684026449918,21074,1490728684026449918,,-0.035400390625,0.0111083984375,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00254042477778,-0.000116355333333,5.81776666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.22,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728684068782091,21075,1490728684068782091,,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,-0.00299072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250163966667,7.75702222222e-05,5.81776666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.03,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728684101500988,21076,1490728684101500988,,-0.035400390625,0.0111694335938,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.81776666667e-05,-3.87851111111e-05,3.87851111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,-0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728684141097068,21077,1490728684141097068,,-0.0354614257812,0.0111694335938,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00257920988889,-1.93925555556e-05,-3.87851111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.01,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728684173032999,21078,1490728684173032999,,-0.0354614257812,0.01123046875,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.93925555556e-05,0.0,-5.81776666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,-0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
